Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Units Net,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,newtaz,Total GSF (Commercial),MIPS,CIE,MED,PDR,RET,VISIT,Net GSF (Commercial),CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,CASENO,BPAPPLNO,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,AFFORDABLE,AFFORDABLENET
1726003,1223 24TH AV,Outer Sunset,BP Filed,5/25/06,2,1,,ADD 3RD FLOOR TO EXISTING BLDG. (ADD 2ND UNIT),Residential,RH-2,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200605252451,,5/25/06,40-X,RH-2,25-May-06,-122.482755,37.76465,,
7067014,636 PLYMOUTH AV,"Ingleside, Other",BP Filed,10/18/07,6,4,"Demolition of three structures consisting of two single family dwellings - 634 & 636 Plymouth and an accessory storage structure, and new construction of six single family dwellings. ","Erect 3-story, Type V-N single family dwelling.",Residential,RH-1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0674,200710185820,5/25/06,10/18/07,40-X,RH-1,25-May-06,-122.455974,37.716097,,
3727168,1145 MISSION ST,Downtown,BP Filed,6/9/06,25,25,"Construction of 25-unit, 6-story, residential building with common roof deck, ground floor retail and basement parking (possibly stacker), totalling 30,914-gsf. Previous FMND 2000.531E.  Existing excavation /shoring permit 2006.1086D.
",TEMPORARY SHORING FOR EXCAVATION AT 1145 MISSION ST.REVISION TO FOUNDATION PERMIT APP# 200007145147,Industrial,SLR,623,"5,745",,,,,"5,745",,"1,996",,,,,"1,996",,2007.0604,200606093615,7/19/07,6/9/06,65-X,SLR,9-Jun-06,-122.411708,37.778401,,
2042012,1710 08TH AV,Inner Sunset,BP Filed,6/19/06,1,1,REAR YARD ENCROACHMENT AND REDUCED PARKING.,CREATE NEW 2ND DWELLING UNIT. REMODEL EXISTING UNIT AT 2ND & 3RD FLOOR. CREATE NEW ROOF DECK. BUILD NEW STAIR AT REAR OF HOUSE. BUILD NEW DECKS AT REAR OF HOUSE.,Residential,RH-2,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0754,200606194392,6/15/06,6/19/06,40-X,RH-2,15-Jun-06,-122.464535,37.756288,,
5395065,47 LEDYARD ST,Other S Bayshore,BP Filed,6/20/06,1,1,,ERECT 3 STORIES 1 DWELLING UNIT,Residential,RH-1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200606204561,,6/20/06,40-X,RH-1,20-Jun-06,-122.401974,37.733382,,
5476014,3595 KEITH ST,"BVHP Area A,B",BP Filed,11/30/06,1,1,"Construction of 6 residential units on 4 floors of 40-foot high,  5721 sf building to be constructed on vacant lot.
====
Zoning: RM-1
To construct on this vacant triangular-shaped lot a new three-story-over-garage, six-unit building for seniors with three",ERECT 3 STORIES 1 SINGLE FAMILY BUILDING.,Public,P,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.1054,200611308862,6/22/06,11/30/06,40-X,RM-1,22-Jun-06,-122.398654,37.719186,,
6048005,2742 SAN BRUNO AV,"South Central, Other",BP Filed,6/27/06,1,-1,Convert Residential to Commercial unit in an NC-2 district.  Mandatory DR,CHANGE RESIDENTIAL TO COMMERCIAL ON GROUNDFLOOR BY REPLACING WINDOW WITH SLIDING ENTRANCE DOOR IN THE FRORNT BUILDING; ADDING AN ACCESS RESTROOM AND REMOVING 21 FT SUB-FLOORING,Mixed Use,NC-2,57,"1,340",0,0,0,0,"1,340",0,"1,340",0,0,0,0,"1,340",0,2006.0894,200606275108,7/27/06,6/27/06,40-X,NC-2,27-Jun-06,-122.403553,37.727066,,
2749050,4533 20TH ST,Central,BP Filed,7/6/06,1,-1,This project proposes to merge 2 condos into 1 single-family residence.  Both units are currently owned by the same couple.,MERGING OF TWO EXISTING DWELLING UNITS INTO A SINGLE FAMILY HOUSE EXTENSION OF EXISTING STAIRCASE BETWEEN 2ND AND 3RD FLOORS INTERIOR REMODEL AS PER PLANS SHOWN,Residential,RH-2,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0854,200607065760,,7/6/06,40-X,RH-2,6-Jul-06,-122.438314,37.75733,,
5817006,300 ALEMANY BL,Bernal Heights,BP Filed,7/7/06,22,22,,TO ERECT 4 STORY 8 DWELLING UNITS/COMMERCIAL,Mixed Use,NC-S,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200607076009,,7/7/06,40-X,NC-S,7-Jul-06,-122.412263,37.734234,,
3752019,870 HARRISON ST,WSoMa,BP Filed,7/14/06,22,22,"Demolition of existing one-story 6,120 sq. ft. building and construction of 22 dwelling units, 1,282 sq. ft. of retail and seven parking spaces. The new structure would be 22,515 sq. ft., five-stories, and approximately 50 feet in height. ",TO ERECT A NEW 4 STORY 22 DWELLING UNITS W/ COMMERCIAL BLDNG.,Industrial,RSD,664,"1,282",0,0,0,0,"1,282",0,"-6,120",0,0,0,"-6,120",0,0,2006.043,200607146552,9/14/06,7/14/06,40-X/85-B,RSD,14-Jul-06,-122.401244,37.779728,,
1843019,614 KIRKHAM ST,Inner Sunset,BP Filed,7/21/06,2,1,"The proposal is to construct a three-story rear addition and convert the building to a two-family dwelling in Zoning District RH-2. The addition would measure 27-feet in depth, 31-feet in height, and 25-feet in width. The addition includes new stairs at t",2 FAMILY RESIDENCES HORIZONTAL ADDITION & REMODELING.,Residential,RH-2,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0692,200607217229,,7/21/06,40-X,RH-2,21-Jul-06,-122.467382,37.760373,,
7535102,1710 DIAMOND ST,Central,BP Filed,2/6/07,4,3,"Demolish existing single-family home, subdivide existing parcel resulting in four new lots, and construct four new single-family homes.",ERECT ONE 3-STORY SINGLE FAMILY DWELLING,Residential,RM-1,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0974,200702063543,8/17/06,2/6/07,40-X,RM-1,17-Aug-06,-122.435778,37.743704,,
6167012,66 BISHOP ST,"South Central, Other",BP Filed,8/21/06,1,-1,"Demo of existing single-family residence, requires conditional use.",(multiple permits) ERECT:  3-STORY SINGLE FAMILY  RESIDENTIAL STRUCTURE; DEMOLISH ONE 2-STORY SINGLE UNIT RESIDENTIAL STRUCTURAL W/GUEST ROOM.,Residential,RH-1,30,0,,,,,,,0,,,,,,,2007.0705,200608210054,7/12/07,8/21/06,40-X,RH-1,21-Aug-06,-122.404432,37.718415,,
2044003A,1864 08TH AV,Inner Sunset,BP Filed,8/31/06,2,1,,"HORIZONTAL & VERTICAL ADDITION: EXPANSION OF BASEMENT, FIRST & SECOND FLOOR; ADDITION OF THIRD FLOOR AND ROOF DECK",Residential,RH-2,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200608311182,,8/31/06,40-X,RH-2,31-Aug-06,-122.464348,37.753618,,
6620014,440 29TH ST,Central,BP Filed,9/15/06,2,1,Demolish existing single-family house (built before 1900) and construct new two-unit dwelling.,ERECT 3 STORIES 2 DWELLING UNITS BLDG.,Residential,RH-2,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1079,200609152421,8/31/06,9/15/06,40-X,RH-2,31-Aug-06,-122.429833,37.743644,,
2987A036,1325 PORTOLA DR,Inner Sunset,BP Filed,9/6/06,1,1,The proposal is to construct a new single-family dwelling on a vacant lot in zoning district RH-1(D).,TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-1(D),103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1337,200609061483,10/23/06,9/6/06,40-X,RH-1(D),6-Sep-06,-122.46431,37.739799,,
3735063,222 02ND ST,TB Combo,BP Filed,11/30/07,0,0,"The proposed project would demolish the existing surface parking lot and construct a 33-story, 432-foot office building. The project would include 6,300 sq. ft. of groundfloor retail, 617,000 sq. ft. of office space, and 75 parking spaces. The gross sq. f","Construction of 25 stories office building with public assembly, food/beverage handling,retail sales",Commercial,C-3-O(SD),690,"400,000","393,700",0,0,0,"6,300",0,"400,000",0,0,"393,700",0,"6,300",0,2006.1106,200711309386,9/13/06,11/30/07,150-S/350-S,C-3-O(SD),13-Sep-06,-122.398069,37.78645,,
1537027,470 08TH AV,Richmond,BP Filed,9/18/06,3,2,"Addition and alteration to existing three unit building built in 1907.  Addition to front, rear and vertically.","REAR, FRONT & VERTICAL ADDITION TO EXISTING BUILDING INCLUDING ALTERATIONS TO EXISTING BUILDING PORTIONS TO REMAIN. ELECTGRICAL & PLUMBING BY SEPERATE PERMIT.",Residential,RM-1,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0316,200609182560,,9/18/06,40-X,RM-1,18-Sep-06,-122.466156,37.779622,,
1258005,52 ALPINE TR,Buena Vista,BP Filed,9/20/06,3,3,To demolish the existing garage and construct a new three-family dwelling in an RH-3 district.,TO ERECT 3 DWELLING UNIT WITH 3 STORY NEW BUILDING,Residential,RH-3,575,0,,,,,,,0,,,,,,,2008.0092,200609202886,1/15/08,9/20/06,40-X,RH-3,20-Sep-06,-122.437843,37.769589,,
5577010,193 BREWSTER ST,Bernal Heights,BP Filed,9/25/06,1,1,,"TO ERECT 4 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200609253192,,9/25/06,40-X,RH-1,25-Sep-06,-122.407688,37.743156,,
5577011,191 BREWSTER ST,Bernal Heights,BP Filed,9/25/06,1,1,,"TO ERECT 4 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200609253193,,9/25/06,40-X,RH-1,25-Sep-06,-122.407638,37.743185,,
5577009,195 BREWSTER ST,Bernal Heights,BP Filed,9/25/06,1,1,,"TO ERECT 4 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200609253191,,9/25/06,40-X,RH-1,25-Sep-06,-122.407738,37.743127,,
5577013,29 JOY ST,Bernal Heights,BP Filed,9/25/06,1,1,,"TO ERECT 4 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200609253194,,9/25/06,40-X,RH-1,25-Sep-06,-122.406711,37.743604,,
8721012,455 Mission Bay S Blvd,Mission Bay,BP Filed,6/26/08,0,0,"Section 321 allocation for 202,893 gsf of office development in a new 6-story, 216,491 gsf building with 12,169 sf of ground floor retail and 369 off-street parking spacesto be located in a future garage on adjacent parcels (MB Block 27, Parcels 2 and 3).",ERECT A 6 STORIES OFFICE/LAB/RETAIL BUILDING.,Mixed Use,MB-RA,649,"333,945","317,248",,,,"16,697",,"333,945",,,"317,248",,"16,697",,2006.1536,200806265407,10/5/06,6/26/08,MB-RA,MB-RA,5-Oct-06,-122.386939,37.76898,,
8720016,1455 03RD ST,Mission Bay,BP Filed,6/10/08,0,0,"Section 321 allocation for a total of up to 373,487 gsf of office development for three new buildings with approximately 380,999 gsf, 7,512 sf of ground floor retail space and 689 off-street parking spaces (to be located off-site on adjacent Block 27). Bu","NEW 10 STORY BLDG FOR OFFICE, LAB AND RETAIL CORE AND SHELL",Mixed Use,MB-RA,650,"380,999","373,499",,,,"7,500",,"380,999",,,"373,499",,"7,500",,2006.1509,200806104062,10/5/06,6/10/08,,C-3-G,5-Oct-06,-122.389378,37.771035,,
1607017A,766 38TH AV,Richmond,BP Filed,10/13/06,1,1,,"VERTICAL AND HORIZONTAL ADDITION (ADD 3RD FLOOR AND REAR ADDITION, FROM SINGLE FAMILY DWELLING TO 2 UNIT. THIS ADDRESS ZONE FOR 2 UNITS",Residential,RH-2,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200610134985,,10/13/06,40-X,RH-2,13-Oct-06,-122.498116,37.774494,,
3502043,1845 MARKET ST,Market Octavia,BP Filed,10/19/06,2,-1,The proposal is to remove an existing rear dwelling unit and merge the space for the commercial space fronting Market Street.,CONVERT ONE EXTG VACANT APT  AND RETAILS SPACE INTO ONE RETAIL SPACE FROM R-1 TO R-3,Mixed Use,NCT-3,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1413,200610195508,,10/19/06,105-E,NCT-3,19-Oct-06,-122.424117,37.771071,,
3510001,1415 MISSION ST,Downtown,BP Filed,10/31/08,117,117,"Demo. of a tire store and construction of a 16-story mixed-use project with 156 dwelling units, 156 off-street valet parking spaces, and 2,350 GSF of ground floor retail use & 2,430 sf office.  Zoning Map Change, CU, and Section 309.",CONSTRUCTION OF FOURTEEN STORIES WITH 3 BASEMENTS ONE HUNDRED SEVENTEEN UNITS W/COMMERCIAL MIXED USE,Industrial,C-M,609,"2,350",0,0,0,0,"2,350",0,300,0,0,"2,430",0,"-2,130",0,2005.054,200810315586,11/2/06,10/31/08,130-L,C-M,2-Nov-06,-122.415999,37.775095,,
5066B003,2175 BAYSHORE BL,VisVal,BP Filed,11/3/06,4,4,"construction of new commercial and 4 unit building, demolition of existing buildings",DEMOLISH 1 STORY COMMERCIAL BUILDING.,Mixed Use,NC-1,875,750,0,0,0,0,750,0,"-1,250",0,0,0,0,"-1,250",0,2006.1111,200611036818,2/26/07,11/3/06,40-X,NC-1,3-Nov-06,-122.401304,37.712343,,
3776092,246 RITCH ST,East SoMa,BP Filed,1/5/07,19,19,"The proposed project would demolish the existing 4,130 sq. ft. storage shed and construct a building consisting of 19 SRO units and five parking spaces. The proposed project would be approx. 16,074 sq. ft. five stories, and 50 feet in height. ",TO ERECT A NEW 5 STORY 19 DWELLING UNIT,Industrial,SLI,641,0,0,0,0,0,0,0,"-4,130",0,0,0,"-4,130",0,0,2006.1348,200701051074,11/8/06,1/5/07,50-X,SLI,8-Nov-06,-122.39578,37.780208,,
6345007,626 PARIS ST,"South Central, Other",BP Filed,11/8/06,1,1,NEW CONSTSRUCTION OF SINGLE-FAMILY DWELLING.,"ERECT 2 STORIES, 1 UNIT, 1 BASEMENT NEW BUILDING.",Residential,RH-1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0177,200611087240,2/16/07,11/8/06,40-X,RH-1,8-Nov-06,-122.437309,37.718855,,
3532014,299 VALENCIA ST,Market Octavia,BP Filed,11/9/06,44,44,"The proposed project would demolish the existing used car lot and accessory office and construct 44 dwelling units, 4,440 sq. ft. of retail, and 44 parking spaces. The new structure would be approximately 54,978 sq. ft. and approximately 50 feet in height",TO ERECT A NEW 40 RES. UNITS OVER COMMERCIAL & PARKING ON GROUNDFLOOR & UNDERGROUND PARKING,Mixed Use,NCT-3,236,"4,440",0,0,0,0,"4,440",0,"3,940",0,0,0,0,"3,940",0,2006.0432,200611097334,5/31/07,11/9/06,50-X,NCT-3,9-Nov-06,-122.42211,37.768232,,
670010,1232 SUTTER ST,Downtown,BP Filed,11/9/06,2,1,"The proposal is the demolition of an existing two-story over basement building and new construction of a three-story, 30-foot building with two dwelling units over office and parking.",ERECT 1 TYPE-1 RESIDENTIAL/COMMERCIAL STRUCTURE,Mixed Use,RC-4,322,500,500,,,,,,"-2,800",,,"-2,800",,,,2007.1147,200611097315,4/17/08,11/9/06,130-V,RC-4,9-Nov-06,-122.420724,37.787813,,
3560001,2210 MARKET ST,Market Octavia,BP Filed,10/2/08,20,20,"The proposed project would demolish the existing 3,000 sq. ft. restaurant and construct a new six story over garage builidng consisting of 20 residential units, 5,000 sq. ft. of retail, and 15 parking spaces. The building would be approximately 30,000 sq.",TO DEMOLISH 1 STORY RESTAURANT.,Mixed Use,NCT,565,"5,000",0,0,0,0,"5,000",0,"2,000",0,0,0,0,"2,000",0,2006.1409,200810023278,11/21/06,10/2/08,50-X,UPR MARKET NCT,21-Nov-06,-122.431436,37.765723,,
1934023,1698 10TH AV,Inner Sunset,BP Filed,12/1/06,2,1,The proposal is to construct a horizontal addition to northern side of the subject dwelling in order to incorporate a second dwelling unit and a second parking space in Zoning District RH-2. The addition is two stories and approximately 420 square feet on,HORIZONTAL ADDITION TO CONVERSE A SINGLE FAMILY DWELLING TO 2 UNIT RESIDENCE APPROX 397 SF ON 1/F AND 418 SF ON 2/F),Residential,RH-2,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.053,200612018971,,12/1/06,40-X,RH-2,1-Dec-06,-122.466704,37.756739,,
2396036,2416 30TH AV,Outer Sunset,BP Filed,12/6/06,2,2,,"ADD 2 FLOORS ON TOP OF(E)BLDG. & ALSO HORIZONTAL ADDITION TOWARDS REAR YARD. COMPLETED BUILDING TO HAVE: 1/F- 520 SQ.FT. OF OFFICE SPACE & 2 CAR GARAGE.2/F RESIDENT-UNIT#1 WITH LIVING ROOM, DINING ROOM, KITCHEN, SUTDY ROOM, 2 BEDROOM, 2 BATHS.3/F UNIT#2-L",Residential,RH-1,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200612069310,,12/6/06,50-X,NC-2,6-Dec-06,-122.487281,37.742095,,
1688001A,4411 CABRILLO ST,Richmond,BP Filed,12/13/06,3,3,,ERECT 4 STORIES 3 DWELLING UNITS BLDG.  PLUS COMMERCIAL,Mixed Use,NC-1,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200612139805,,12/13/06,40-X,NC-1,13-Dec-06,-122.505954,37.773297,,
4098027,749 WISCONSIN ST,Showpl/Potrero,BP Filed,12/15/06,2,1,The proposal is to demolish a single-family house and constructing a two-unit structure.,ERECT 4 STORIES OF 2 DWELLING UNITS.,Residential,RH-2,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1506,200612159955,12/14/06,12/15/06,40-X,RH-2,14-Dec-06,-122.398869,37.758092,,
1098009,1401 DIVISADERO ST,Western Addition,BP Filed,12/21/06,0,-21,"Conditional Use authorization request to allow demolition of existing mixed-use building and construction of a new 75,000 square foot medical office building.",TO DEMOLISH 21 DWELLING UNIT WITH COMMERCIAL SPACE,Mixed Use,NC-3,670,"74,000","74,000",0,0,0,0,0,"57,000",0,0,"57,000",0,0,0,2007.0094,200612210404,1/24/07,12/21/06,105-E,NC-2,21-Dec-06,-122.439402,37.782505,,
287014,300 GRANT AV,Downtown,BP Filed,12/22/06,56,56,,CONVERT OFFICE TO RESIDENTIAL UNITS. CHANGE IN USE TO R-1 EXISTING CONDUTIONS/DEMOLITION FLOOR PLANS TO BE SUBMITTED AS REVISIONS.,Commercial,C-3-R,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200612220490,,12/22/06,80-130-F,C-3-R,22-Dec-06,-122.405341,37.789703,,
6634015,1629 DOLORES ST,Central,BP Filed,1/8/07,3,2," The project would demolish and existing 22' high single-family structure constructed pre-1900, and construct a new 40' high three-unit structure.",TO ERECT 3 DWELLING UNITS WITH 4 STORY NEW BLDG,Residential,RH-3,107,0,,,,,,,0,,,,,,,2007.0627,200701081168,6/22/07,1/8/07,40-X,RH-3,8-Jan-07,-122.424085,37.743403,,
6621030,497 VALLEY ST,Central,BP Filed,1/10/07,1,1,The proposal is to construct a new three-story over partially underground basement single-family dwelling on the front vacant portion of the lot in Zoning District RH-2. the pedestrian entry is on Castro Street while both garages front on Valley Street.,TO ERECT A NEW 3 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-2,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0468,200701101441,,1/10/07,40-X,RH-2,10-Jan-07,-122.433112,37.744009,,
5336048,1911 QUESADA AV,Other S Bayshore,BP Filed,1/17/07,1,1,,TO ERECT 1 DWELLING UNIT WITH 3 STORY NEW BUILDING,Residential,RH-1,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200701171881,,1/17/07,40-X,RH-1,17-Jan-07,-122.396076,37.735792,,
5627042,495 CHAPMAN ST,Bernal Heights,BP Filed,1/19/07,1,1,,TO ERECT 3 STORY SINGLE FAMILY DWELLING,Residential,RH-1,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200701192144,,1/19/07,40-X,RH-1,19-Jan-07,-122.413081,37.741756,,
3594009,2374 FOLSOM ST,Mission,BP Filed,1/29/07,4,2,CONVERT EXISTING 3-STORY 2-UNIT RESIDENTIAL BUILDING W/ 2 OFF-STREET PARKING SPACES TO 4-STORY 4-UNIT RESIDENTIAL BUILDING W/ 4 OFF-STREET PARKING SPACES.,VERTICAL AND HORIZONTAL EXTENSION TO CONVERT A 3 STORY 2 UNIT RESIDENTIAL BUILDING INTO A 4 STORY 4 UNTS CONDEMINIUM BLDG WITH INTERNAL REMODELING,Residential,RM-1,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.1209,200701292823,,1/29/07,50-X,RM-1,29-Jan-07,-122.414891,37.759361,,
1371039,112 12TH AV,Richmond,BP Filed,2/5/07,2,1,,HORIZONTAL ADDITION AND REMODELING TO CHANGE FROM ONE SINGLE FAMILY TO 2 FAMILY RESIDENCES,Residential,RH-2,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200702053335,,2/5/07,40-X,RH-2,5-Feb-07,-122.47092,37.786009,,
557019,2151 GREEN ST,Marina,BP Filed,2/13/07,1,1,"To construct a 6-story, single-family house o a vacant lot in an RH-2 district.",ERECT:1  5-story single family dwelling,Residential,RM-1,359,0,,,,,,,0,,,,,,,2008.0215,200702134062,2/15/08,2/13/07,40-X,RH-2,13-Feb-07,-122.434441,37.79614,,
1180023,1533 MCALLISTER ST,Western Addition,BP Filed,2/14/07,2,-1,"Rear yard addition for egress stairs from the exisitng attic space, which will be located within the required rear yard.",REDUCE UNIT COUNT FROM 3 TO 2. ADD GARAGE. ADD EXTERIOR EXIT STAIRS AT REAR. INTERIOR REMODEL. ADD DORMERS.,Residential,RH-3,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0166,200702144117,,2/14/07,40-X,RH-3,14-Feb-07,-122.437275,37.777797,,
3754042,12 SHERMAN ST,East SoMa,BP Filed,2/20/07,3,3,"The new construction of a four story mixed use building having three dwelling units over a PDR commercial ground floor.  The project is not proposing parking for the three units. Units said ""0"".",DEMOLISH  1 STORE PARKING/STORAGE BLDG.,Mixed Use,NCT,630,"1,853",,,,"1,853",,,0,,,,0,,,2007.1015,200702204428,9/6/07,2/20/07,40-X,MUG,20-Feb-07,-122.406993,37.777212,,
1080008,1419 BRODERICK ST,Western Addition,BP Filed,2/21/07,3,2,,VERTICAL AND HORIZONTAL ADDITION AND REMODELING FROM ONE FAMILY RESIDENCE TO THREE FAMILY RESIDENCES.,Residential,RH-3,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200702214545,,2/21/07,40-X,RH-3,21-Feb-07,-122.441341,37.78332,,
6986040,715 HOLLOWAY AV,"Ingleside, Other",BP Filed,3/6/07,2,1,Proposal includes: extension of the existing first and second floors toward the rear of the lot; construction of a third floor vertical addition; change the existing single-family dwelling to a two-family dwelling and remove & replace the front entry stai,HORIZONTAL AND VERTICAL EXTENSION TO CONVERT AN EXISTING SINGLE FAMILY DWELLING INTO 2 UNITS. SPRINK,Residential,RH-2,41,0,,,,,,,0,,,,,,,2008.0942,200703065518,,3/6/07,40-X,RH-2,6-Mar-07,-122.460467,37.721683,,
3609082,3547 20TH ST,Mission,BP Filed,3/7/07,2,1,Project proposes to add a new dwelling unit for a total of two within the existing building without the addition of parking and thus requiring a CU pursuant to Section 161(j).  The project requires a variance for open space.,LEGALIZE ILLEGAL UNI9T & COMPLY NOV 200683271 AT 3RD FLOOR. CONVERT S.F.R. WITH COMMERCIAL SPACE TO ,Mixed Use,NCT,185,0,,,,,,,0,,,,,,,2007.0308,200703075671,,3/7/07,50-X,Valencia St NCT,7-Mar-07,-122.42007,37.75843,,
0667018A,1529 PINE ST,Northeast,BP Filed,3/19/07,113,113,"Demolish three existing buildings and construct two buildings, a 14-story building and a six-story building containing a total of 113 dwelling units, 113 parking spaces, and 10,000 sq. ft. of ground floor commercial. The new building would be approximatel",TO DEMOLISH AN OFFICE AND A WAREHOUSE BUILDING,Mixed Use,RC-4,327,0,,,,0,0,,"-8,176",,,,"-18,176","10,000",,2006.0383,200703196613,,3/19/07,65-A,RC-4,19-Mar-07,-122.42101,37.789431,,
7036012,345 LOUISBURG ST,"Ingleside, Other",BP Filed,3/21/07,1,1,,TO ERECT 3 STORY SINGLE FAMILY DWELLING,Residential,RH-1,43,0,,,,,,,0,,,,,,,,200703216875,,3/21/07,40-X,RH-1,21-Mar-07,-122.450965,37.718844,,
4263007,1366 SAN BRUNO AV,Showpl/Potrero,BP Filed,3/21/07,3,1,"Mandatory DR for res. demo.  The proposal would demolish an existing two-unit residential building, constructed in 1905, and construct a new three unit residential building.",DEMOLISH A 3 STORY 3 UNIT RESIDENTIAL BUILDING.,Residential,RH-3,148,0,,,,,,,0,,,,,,,2008.0614,200703216793,5/21/08,3/21/07,40-X,RH-3,21-Mar-07,-122.404446,37.752305,,
6578046,3809 CESAR CHAVEZ ST,Central,BP Filed,3/29/07,2,1,(1) To legalize an existing lot that does not contain a minimum lot area. (2) To remove an existing porch and stairs in the required rear yard and build a new two-car garage with a roof deck above. The garage is to be used by the existing unit and a propo,"CONSTRUCT A 1 STORY GARAGE WITH DECKS ABOVE ATTACHED TO AN EXISTING SINGLE FAMILY HOUSE THAT WILL BE RECONFIGUREED TO INCLUDE 2 LIVING UNITS. AN EXISTING UNCONDITIONED BASEMENT WILL BE RECONFIGURED, DROPPING THE EXISTING SLAB APPROX 2'0 AND INSTALL NEW FO",Residential,RH-2,123,0,,,,,,,0,,,,,,,2007.0309,200703297638,,3/29/07,40-X,RH-2,29-Mar-07,-122.425196,37.747714,,
6534029,1225 DOLORES ST,Central,BP Filed,3/30/07,3,3,,"ERECT 4 STORIES, 3 DWELLING UNITS CONDOMINIUM BUILDING.",Residential,RH-3,140,0,,,,,,,0,,,,,,,,200703307744,,3/30/07,40-X,RH-3,30-Mar-07,-122.424715,37.749797,,
