Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,Expr1022,Expr1023,FirstFiled,Longitude,Latitude,ObjectID,Expr1028,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,TempSelect,SiteArea,BLOCK,LOT,PARKING,PARKINGNET,ZONING,HEIGHTLIMIT,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
1570003C,641 27th Av,Richmond,BP REINSTATED,12-Sep-11,2,"To construct a 4-story, 2-unit building on a vacant lot in an RH-2 district.",CONSTUCT NEW 4-STORY TYPE 5 SINGLE FAMILY 2-UNIT BLDG.,Residential Zoning Districts,RH-2,274,0,0,0,0,0,0,0,2009.0019,200711057313,7-Jan-09,5-Nov-07,40-X,RH-2,5-Nov-07,-122.48685,37.777259,974,,Resident,-1,BP Approved/Issued/Re-Instated,8,2,0,0,0,0,0,0,0,,2808,1570,003C,,,RH-2,40-X,1,GABRIEL Y. NG & ASSOCIATES,Gabriel  Ng,415-682-8060,Gabriel  Ng 415-682-8060,"SAN FRANCISCO , CA 94122","1360 Ninth Avenue, Suite 210"
1571015C,622 29th Av,Richmond,BP Filed,22-May-06,2,,TWO FAMILY RESIDENCES. VERTIVCAL AND HORIZONTAL ADDITION AND REMODELING,Residential Zoning Districts,RH-2,274,0,0,0,0,0,0,0,,200605222098,,22-May-06,40-X,RH-2,22-May-06,-122.488659,37.777454,976,,Resident,0,BP Filed,6,1,0,0,0,0,0,0,0,,2992,1571,015C,,,RH-2,40-X,1,,,,,,
1583006,623 40th Av,Richmond,BP Filed,6-Jul-07,2,,VERTICAL AND HORIZONTAL ADDITION TO EXISTING 2 LEVEL BUILDING AND ADD 1 UNIT.,Residential Zoning Districts,RH-2,271,0,,,,,,,,200707066144,,6-Jul-07,40-X,RH-2,6-Jul-07,-122.500766,37.77688,980,,Resident,0,BP Filed,6,1,0,,,,,,,,3250,1583,6,,,RH-2,40-X,1,,,,,,
1601001,701 43rd Av,Richmond,CONSTRUCTION,31-Dec-08,2,"Off-street parking variance to legalize the addition of one dwelling unit on the ground floor of the one-story, single-family dwelling.  A single off-street parking space will continue to be provided in the existing garage.",LEGALIZE 2ND UNIT. CONVERT EXISTING SFD TO 2 UNIT RESIDENTIAL.  REMODEL GROUND FLOOR FOR NEW KITCHEN,Residential Zoning Districts,RH-2,270,0,,,,,,,2007.0652,200710155396,26-Jun-07,15-Oct-07,40-X,RH-2,26-Jun-07,-122.503878,37.775204,989,,Resident,-1,Construction,13,1,0,,,,,,,,2481,1601,1,,,RH-2,40-X,1,,ROBERT SWANSON,415-899-9858,ROBERT SWANSON 415-899-9858,"NOVATO, CA 94947",2197 VINEYARD RD
1607017A,766 38th Av,Richmond,BP Filed,13-Oct-06,1,,"VERTICAL AND HORIZONTAL ADDITION (ADD 3RD FLOOR AND REAR ADDITION, FROM SINGLE FAMILY DWELLING TO 2 UNIT. THIS ADDRESS ZONE FOR 2 UNITS",Residential Zoning Districts,RH-2,257,0,0,0,0,0,0,0,,200610134985,,13-Oct-06,40-X,RH-2,13-Oct-06,-122.498116,37.774494,994,,Resident,0,BP Filed,6,1,0,0,0,0,0,0,0,,2907,1607,017A,,,RH-2,40-X,1,,,,,,
1607024,3619 Balboa St,Richmond,PL Filed,19-Dec-08,4,"Demolish 2 exisitng one story commercial buildings on two lots, merge lots and construct a 4-unit resindetial, 1-unit commercial/office, 1-unit commercial/retail, and 1 level of storage for occupants",,Neighborhood Commercial Zoning Districts,NC-2,257,9846,4912,,,,4934,,2008.1388,,19-Dec-08,,40-X,NC-2,19-Dec-08,-122.497575,37.775566,996,,Mixres,0,Planning Filed,6,4,8596,,,4912,,3684,,,5044,1607,24,,,NC-2,40-X,1,Gary Gee Architects,Gary Gee,863-8881,Gary Gee 863-8881,"San Francisco, 94103",98 Brady Street # 8
1608012,762 37th Av,Richmond,BP Filed,4-Sep-08,2,,"VERTICAL ADDITION OF TWO FLOORS ABOVE TWO STORIES (E)-ADD ONE FULL DWELLING UNIT. ELECTRICAL, PLUMBI",Residential Zoning Districts,RH-2,257,0,,,,,,,,200809040762,,4-Sep-08,40-X,RH-2,4-Sep-08,-122.497065,37.774595,998,,Resident,0,BP Filed,6,1,0,,,,,,,,2916,1608,12,,,RH-2,40-X,1,,,,,,
1609021F,700 36th Av,Richmond,BP Filed,26-Sep-08,6,,TO ERECT 6 DWELLING UNIT WITH FOUR STORY NEW BLDG.(COMMERCIAL AND RESIDENTIAL),Neighborhood Commercial Zoning Districts,NC-2,257,2000,,,,,2000,,2009.0653,200809262781,17-Jul-09,26-Sep-08,40-X,NC-2,26-Sep-08,-122.496055,37.775575,1001,,Mixres,0,BP Filed,6,6,2000,,,,,2000,,,5094,1609,021F,,,NC-2,40-X,1,Shatara Architecture,Suheil Shatara,415 512 7566,Suheil Shatara 415 512 7566,"San Francisco, CA 94107",522 Second Street
1611001,3201 Balboa St,Richmond,BP Filed,13-Jun-08,3,,"ERECT A 3 STORY, 3 DWELLING UNITS AND MIXED USE BUILDING; DEMOLISH A FITNESS AND OFFICE BUILDING",Neighborhood Commercial Zoning Districts,NC-2,273,1000,,,,,1000,,,200806134390,,13-Jun-08,40-X,NC-2,13-Jun-08,-122.493129,37.775832,1002,,Mixres,0,BP Filed,6,3,-2171,-1071,0,0,-2100,1000,0,,3274,1611,1,,,NC-2,40-X,1,,,,,,
1618007,762 27th Av,Richmond,PL Approved,10-Dec-09,2,Addition/alteration to single-family residence and add second unit.,,Residential Zoning Districts,RH-2,260,0,,,,,,,2009.0522,,11-Jun-09,,40-X,RH-2,11-Jun-09,-122.486347,37.775093,1009,,Resident,-1,PL Approved,3,1,0,,,,,,,,3036,1618,7,,,RH-2,40-X,1,Allen Gee Architects,Allen Gee,386-1753,Allen Gee 386-1753,"San Francisco,CA 94121",790 - 37th Ave
1622010,651 22nd Av,Richmond,BP REINSTATED,3-Sep-08,2,,VERTICAL & HORIZONTAL ADDITION-THE BUILDING WILL BE CONVERTED FROM 1 UNIT TO 2 UNITS,Residential Zoning Districts,RH-2,261,0,,,,,,,,200808058461,,5-Aug-08,40-X,RH-2,5-Aug-08,-122.481353,37.775488,1012,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0,,,,,,,,3008,1622,10,,,RH-2,40-X,1,,,,,,
1640051,327 Balboa St,Richmond,BP Filed,28-Jan-11,6,"Add residential units/ CU for parking V for rear yard, exposure and nonconfomplying sturture",1ST FLOOR CONVERT (E) REAR COMMERCIAL SPACE TO RESIDENTIAL USE. ADD 2ND ENTRANCE EGRESS. 2ND FLOOR C,Neighborhood Commercial Zoning Districts,NC-2,264,0,,,,,,,2011.0209,201101289269,3-Mar-11,28-Jan-11,40-X,NC-2,28-Jan-11,-122.4622,37.77716,1023,,Resident,0,BP Filed,11,4,0,,,,,,,,4999,1640,51,,,NC-2,40-X,1,Reuben & Junius ,David Silverman,415 567 9000,David Silverman 415 567 9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
1642036,658 03rd Av,Richmond,BP Filed,19-Nov-07,2,,Vertical extension to convert a 2 story + attic single family residential building by adding one sto,Residential Zoning Districts,RH-2,637,0,,,,,,,,200711198515,,19-Nov-07,40-X,RH-2,19-Nov-07,-122.460569,37.77631,1026,,Resident,0,BP Filed,6,1,0,,,,,,,,3000,1642,36,,,RH-2,40-X,1,,,,,,
1643051,25 Balboa St,Richmond,PL Approved,12-Jan-09,2,One story vertical addition over the existing two-story over garage and convert existing single-family dwelling to two family dwellings.,,Residential Zoning Districts,RM-2,637,0,,,,,,,2008.1273,,2-Mar-10,,40-X,RM-2,2-Mar-10,-122.459283,37.777335,1027,,Resident,-1,PL Approved,5,1,0,,,,,,,,2506,1643,51,,,RM-2,40-X,1,,Gus Fallay,510-469-5202,Gus Fallay 510-469-5202,"San Francisco, CA 94105","595 Market Street, Suite 1350"
2395017,2908 Ulloa St,Outer Sunset,CONSTRUCTION,7-Apr-11,1,"The proposal is to construct a new, single-family dwelling on a 25-foot wide by 100-foot deep lot fronting along Ulloa Street in zoning district RH-1. The new structure would be one-story over garage at the front and the third level would be set back 15 f","HORIZONTAL & VERTICAL ADDITION 1,743 SQ FT ON 1ST FLOOR, 1,430 SQ FT. ON 2ND FLOOR, 840 SQ FT ON 3RD",Residential Zoning Districts,RH-1,435,0,,,,,,,2007.0162,200808088722,8-Feb-07,8-Aug-08,40-X,RH-1,8-Feb-07,-122.487545,37.740769,1039,,Resident,-1,Construction,13,1,0,,,,,,,,5739,2395,17,,,RH-1,40-X,4,,Dennis Yeung,415-859-5665,Dennis Yeung 415-859-5665,"San Francisco, CA 94124",1485 Bay Shore Blvd. #128
2396036,2416 30th Av,Outer Sunset,BP Filed,6-Dec-06,2,,"ADD 2 FLOORS ON TOP OF(E)BLDG. & ALSO HORIZONTAL ADDITION TOWARDS REAR YARD. COMPLETED BUILDING TO HAVE: 1/F- 520 SQ.FT. OF OFFICE SPACE & 2 CAR GARAGE.2/F RESIDENT-UNIT#1 WITH LIVING ROOM, DINING ROOM, KITCHEN, SUTDY ROOM, 2 BEDROOM, 2 BATHS.3/F UNIT#2-L",Neighborhood Commercial Zoning Districts,NC-2,435,0,0,0,0,0,0,0,,200612069310,,6-Dec-06,50-X,NC-2,6-Dec-06,-122.487281,37.742095,1040,,Resident,0,BP Filed,6,2,0,0,0,0,0,0,0,,1988,2396,36,,,NC-2,50-X,4,,,,,,
2515001,2800 Sloat Bl,Outer Sunset,PL Approved,13-Nov-08,55,"Demolition of existing buildings and construction of three new five-story buildings with a total of 55 dwelling units, 48 parking spaces in an underground parking garage, 26,000 gsf of ground floor retail, and 34 covered spaces for the commercial use. ",,Neighborhood Commercial Zoning Districts,NC-2,99,0,0,0,0,0,0,0,2005.1066,,19-Jul-07,,100-A,NC-2,19-Jul-07,-122.504306,37.735642,1054,,Resident,-1,PL Approved,5,55,9656,0,0,0,0,26000,-16344,,33763,2515,1,,82,NC-2,100-A,4,Hamilton & Company Architecture,Rachel Hamilton,510-549-1312,Rachel Hamilton 510-549-1312,"Berkeley, CA 94710","1035 Carleton Street, Suite 100"
2799013,950 Corbett Av,Central,CONSTRUCTION,13-Mar-07,3,3 New Unit Condominium,TO ERECT 4 STORY 3 DWELLING RESIDENCE,Residential Zoning Districts,RM-1,167,0,0,0,0,0,0,0,2006.0641,200201106632,,10-Jan-02,40-X,RM-1,10-Jan-02,-122.443645,37.751994,1059,,Resident,-1,Construction,13,3,0,0,0,0,0,0,0,,2857,2799,13,,,RM-1,40-X,8,HERZIG & BERLESE,MARGARET J. BERLESE,415.861.8800,MARGARET J. BERLESE 415.861.8800,"SF, CA 94102","414 GOUGH ST, #5"
1671008M,850 29th Av,Richmond,PL Approved,10-Jul-08,2,New Construction,,Residential Zoning Districts,RH-2,251,0,0,0,0,0,0,0,2006.147,,6-Dec-06,,40-X,RH-2,6-Dec-06,-122.488368,37.773303,1063,,Resident,-1,PL Approved,5,1,0,0,0,0,0,0,0,,3024,1671,008M,,,RH-2,40-X,1,,,,,,
1672018,874 30th Av,Richmond,BP ISSUED,26-Jan-09,2,,(N) THIRD FLOOR VERTICAL ADDITION (2ND UNIT). RELOCATE GARAGE DOOR & ENTRANCE. EXPAND & RECONFIGURE ,Residential Zoning Districts,RH-2,250,0,,,,,,,,200711289065,,28-Nov-07,40-X,RH-2,28-Nov-07,-122.489411,37.772896,1066,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,3000,1672,18,,,RH-2,40-X,1,,,,,,
1684002I,6524 Fulton St,Richmond,CONSTRUCTION,3-Jun-11,2,"To construct a two-story vertical addition, fill in side setbacks at the rear of the structure and add one dwelling unit per the enclosed plans.",2 STORY VERTICAL ADDITION OVER EXISTING 2 STORY. CONVERT FROM 1 UNIT TO 2 UNITS,Residential Zoning Districts,RH-2,576,0,,,,,,,2008.0742,200712200952,17-Jun-08,20-Dec-07,40-X,RH-2,20-Dec-07,-122.501664,37.771889,1071,,Resident,-1,Construction,13,1,0,,,,,,,,2500,1684,002I,,,RH-2,40-X,1,,Ronald Gate,793-2722,Ronald Gate 793-2722,"San Francisco, CA  94122",750 Lawton Street
1684004L,806 42nd Av,Richmond,PL Approved,15-Feb-08,2,Add 2nd unit to 3rd floor of existing building. Remodel existing 2nd floor and garage floor.,"ADD 3/F NEW 2ND UNIT ADDITION, LEGALIZED EXISTING GROUND FLOOR ROOM & EXTENTION.",Residential Zoning Districts,RH-2,576,0,,,,,,,2008.0079,200612200235,16-Jan-08,,40-X,RH-2,16-Jan-08,-122.502354,37.773307,1072,,Resident,-1,PL Approved,10,1,0,,,,,,,,2416,1684,004L,,,RH-2,40-X,1,,Anthony Tam,415-509-5025,Anthony Tam 415-509-5025,"San Francisco, CA 94122",3649 Lawton Street #622
1688001A,4411 Cabrillo St,Richmond,BP Filed,13-Dec-06,3,,ERECT 4 STORIES 3 DWELLING UNITS BLDG.  PLUS COMMERCIAL,Neighborhood Commercial Zoning Districts,NC-1,689,0,0,0,0,0,0,0,,200612139805,,13-Dec-06,40-X,NC-1,13-Dec-06,-122.505954,37.773297,1074,,Resident,0,BP Filed,6,3,0,0,0,0,0,0,0,,2500,1688,001A,,,NC-1,40-X,1,,,,,,
1707047,4227 Lincoln Wy,Outer Sunset,CONSTRUCTION,25-Mar-08,1,,VERTICAL AND HORIZONTAL ADDITION,Residential Zoning Districts,RH-2,216,0,0,0,0,0,0,0,,200306207365,,20-Jun-03,40-X,RH-2,20-Jun-03,-122.503298,37.764167,1088,,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,,2500,1707,47,,,RH-2,40-X,4,,,,,,
1726003,1223 24th Av,Outer Sunset,BP Filed,25-May-06,2,,ADD 3RD FLOOR TO EXISTING BLDG. (ADD 2ND UNIT),Residential Zoning Districts,RH-2,555,0,0,0,0,0,0,0,,200605252451,,25-May-06,40-X,RH-2,25-May-06,-122.482755,37.76465,1094,,Resident,0,BP Filed,6,1,0,0,0,0,0,0,0,,3002,1726,3,,,RH-2,40-X,4,,,,,,
1729023Q,1242 22nd Av,Outer Sunset,BP ISSUED,13-Mar-07,2,,"VERTICAL ADDITION OF ADDING A 3RD STORY, 2ND UNIT.",Residential Zoning Districts,RH-2,556,0,0,0,0,0,0,0,,200604058365,,5-Apr-06,40-X,RH-2,5-Apr-06,-122.480246,37.764478,1097,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,3000,1729,023Q,,,RH-2,40-X,4,,,,,,
1736033,1208 15th Av,Inner Sunset,CONSTRUCTION,26-Jan-11,2,,TO ERECT 2 DWELLING UNIT WITH 3 STORY NEW BUILDING,Residential Zoning Districts,RH-2,222,0,0,0,0,0,0,0,,200605111391,,11-May-06,40-X,RH-2,11-May-06,-122.472728,37.765322,1108,,Resident,-1,Construction,13,2,0,0,0,0,0,0,0,,6288,1736,33,,,RH-2,40-X,5,,,,,,
1742043,1266 09th Av,Inner Sunset,BP ISSUED,9-Dec-10,15,"Existing 2-story, 6,000 sqft mortuary/office building with 28 space parking lot would be demolished. Proposed 3-story, 40-foot building with ground floor retail and 2-stories of residential.",construction of a new 4-story bldg with 15-unit condos.,Neighborhood Commercial Zoning Districts,INNER SUNSET,224,3000,,,,,3000,,2007.1397,200912183521,26-Jun-08,18-Dec-09,40-X,INNER SUNSET,26-Jun-08,-122.466193,37.764735,1113,,Mixres,-1,BP Approved/Issued/Re-Instated,11,15,-3000,0,0,-2200,0,-800,0,,12000,1742,43,,,INNER SUNSET,40-X,5,Prado Group,Don Bragg,395.0880x324,Don Bragg 395.0880x324,"San Francisco, CA 94108","150 Post Street, #320"
1767031,1354 Funston Av,Inner Sunset,BP REINSTATED,17-Dec-09,2,Add 2nd dwelling unit to existing single-family residence with new vertical addition 3rd floor at rear of building.,"VERTICAL/HORIZONTAL ADDITION, ADD 3RD & 4TH FLOOR OVER (E) 2 STORIES, CONVERT TO TWO UNITS, MODIFY (",Residential Zoning Districts,RH-2,213,0,,,,,,,2010.1108,200710306832,13-Dec-10,30-Oct-07,40-X,RH-2,30-Oct-07,-122.470364,37.762863,1126,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0,,,,,,,,3000,1767,31,,,RH-2,40-X,5,Seto Engineering,Gloria Li,415-609-1087,Gloria Li 415-609-1087,"Burlingame, CA 94010",1439 California Street
1772013,1621 Irving St,Inner Sunset,CONSTRUCTION,23-May-11,3,,"HORIZONTAL & VERTICAL ADDITION 3 UNIT CONDOMINUM, REISE (E) BLDG, ADD 2 FEET ALL EXISTING FLOOR TO R",Neighborhood Commercial Zoning Districts,INNER SUNSET,211,0,,,,,,,,200805202523,,20-May-08,40-X,INNER SUNSET,20-May-08,-122.475248,37.763512,1130,,Resident,-1,Construction,13,2,0,,,,,,,,2500,1772,13,,,INNER SUNSET,40-X,5,,,,,,
1800010A,1359 45th Av,Outer Sunset,CONSTRUCTION,19-Jun-08,2,,"HORIZONTAL ADDITION AT REAR, ADD ONE MORE UNIT",Residential Zoning Districts,RH-2,206,0,0,0,0,0,0,0,,200404141320,,14-Apr-04,40-X,RH-2,14-Apr-04,-122.505099,37.761258,1146,,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,,3005,1800,010A,,,RH-2,40-X,4,,,,,,
1802010A,1373 47th Av,Outer Sunset,BP Filed,25-Jan-08,2,,"Multiple Permits.
 	ERECT A FOUR-STORY TWO UNITS RESIDENTIAL BUILDING.
 	DEMOLITION OF ONE-STORY SINGLE FAMILY DWELLING.",Residential Zoning Districts,RH-2,206,0,,,,,,,,200801253322,,25-Jan-08,40-X,RH-2,25-Jan-08,-122.507227,37.760955,1148,,Resident,0,BP Filed,6,1,0,,,,,,,,5966,1802,010A,,,RH-2,40-X,4,,,,,,
1842004,1427 11th Av,Inner Sunset,BP Filed,11-Apr-07,2,"Two-story vertical addition to the existing one-story, 1,368 sqft single-family dwelling, and a three-story horizontal side addition to the south side of existing dwelling. The resulting structure will be three stories in height, 2-dwelling units, a total",2 STORY VERTICAL ADDITON,Residential Zoning Districts,RH-2,203,0,,,,,,,2008.0612,200704118534,17-Jul-08,11-Apr-07,40-X,RH-2,11-Apr-07,-122.468451,37.7615,1165,,Resident,0,BP Filed,6,1,0,,,,,,,,3000,1842,4,,,RH-2,40-X,7,"Jan Threlkeld, AIA",Jan Threlkeld,415-362-9235,Jan Threlkeld 415-362-9235,"San Francisco, CA 94104",473 Pine Street 5th Floor
1843019,614 Kirkham St,Inner Sunset,BP Filed,21-Jul-06,2,"The proposal is to construct a three-story rear addition and convert the building to a two-family dwelling in Zoning District RH-2. The addition would measure 27-feet in depth, 31-feet in height, and 25-feet in width. The addition includes new stairs at t",2 FAMILY RESIDENCES HORIZONTAL ADDITION & REMODELING.,Residential Zoning Districts,RH-2,203,0,0,0,0,0,0,0,2007.0692,200607217229,4-Jul-07,21-Jul-06,40-X,RH-2,21-Jul-06,-122.467382,37.760373,1167,,Resident,0,BP Filed,6,1,0,0,0,0,0,0,0,,2500,1843,19,,,RH-2,40-X,7,,Bik Lau Chu Li,415.812.4299,Bik Lau Chu Li 415.812.4299,"San Francisco, CA 94122",614 Kirkham Street
1865009,1559 19th Av,Outer Sunset,BP ISSUED,31-Mar-08,2,,2 STORIES VERTICAL ADDITION AND HORIZONTAL ADDITION FOUNDATION TO BE UPGRADE 1 UNIT (E) BLDG. TO BE ,Residential Zoning Districts,RH-2,526,0,,,,,,,,200707116486,,11-Jul-07,40-X,RH-2,11-Jul-07,-122.476925,37.758742,1180,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,4035,1865,9,,,RH-2,40-X,4,,,,,,
1895006,1625 48th Av,Outer Sunset,CONSTRUCTION,1-Mar-11,1,To alter the existing detached garage at the front of the lot converting it into a three-story detached single-family dwelling.  The new dwelling would have two off-street parking spaces to replace the lost parking for the existing dwelling located at the,TO ERECT 1 DWELLING UNIT WITH 3 STORY NEW BUILDING,Residential Zoning Districts,RH-2,172,0,,,,,,,2004.0753,200710266519,,26-Oct-07,40-X,RH-2,26-Oct-07,-122.507944,37.756016,1186,,Resident,-1,Construction,13,1,0,,,,,,,,3000,1895,6,2,0,RH-2,40-X,4,,Julia Liu,415.348.8145,Julia Liu 415.348.8145,"San Francisco, CA  94107","50 Rizal Street, #517"
1895043,1600 Great Hy,Outer Sunset,PL Approved,10-Jul-08,0,Demolition and construction of a new nursery school/day care center.,,Residential Zoning Districts,RH-2,172,2420,,2420,,,,,2008.0461,,17-Apr-08,,40-X,RH-2,17-Apr-08,-122.508733,37.756359,1189,,CIE,-1,PL Approved,3,0,527,527,0,0,0,0,0,,5900,1895,43,,,RH-2,40-X,4,McCall Design Group,Rich Gillerman,(415) 288-81,Rich Gillerman (415) 288-81,San Francisco CA 94108,550 Kearny Street Suite 710
1934023,1698 10th Av,Inner Sunset,BP Filed,1-Dec-06,2,The proposal is to construct a horizontal addition to northern side of the subject dwelling in order to incorporate a second dwelling unit and a second parking space in Zoning District RH-2. The addition is two stories and approximately 420 square feet on,HORIZONTAL ADDITION TO CONVERSE A SINGLE FAMILY DWELLING TO 2 UNIT RESIDENCE APPROX 397 SF ON 1/F AND 418 SF ON 2/F),Residential Zoning Districts,RH-2,530,0,0,0,0,0,0,0,2007.053,200612018971,4-Jun-07,1-Dec-06,40-X,RH-2,1-Dec-06,-122.466704,37.756739,1199,,Resident,0,BP Filed,6,1,0,0,0,0,0,0,0,,2747,1934,23,,,RH-2,40-X,7,,Dennis Yeung,415-859-5665,Dennis Yeung 415-859-5665,"San Francisco, CA 94124",1485 Bay Shore Blvd. #128
1939001,Treasure Island,Treasure Island,PL Approved,15-Mar-11,8619,"Development and Redevelopment Plan for Treasure Island and Yerba Buena Island, including land uses up to (approximately): 6,000 units residential, 500 rooms hotel, 250,000-sf retail, 300 acres park and open space, parking, reuse and historic rehabilitatio",,Other,P,868,381000,,,,,250000,131000,2007.0903,,15-Mar-11,,OS,P,15-Mar-11,-122.371048,37.823551,1200,,Mixres,-1,PL Approved,,7800,381000,,,,,250000,131000,,18100304,1939,1,,,P,OS,6,Treasure Island Comm Dev LLC,Stephen Proud,995-4813,Stephen Proud 995-4813,"San Francisco, CA 94105","49 Stevenson Street, Suite 600"
2347004G,2350 19th Av,Inner Sunset,BP APPROVED,17-Feb-11,10,"The proposed project would demolish a 300 square foot carport/office shack, subdivide one lot into five new (25'x100') lots, and the construct two units on each lot for a total of ten dwelling units.",Multiple Permits,Residential Zoning Districts,RH-2,115,0,,,,,,,2007.0178,200708079019,16-Feb-07,7-Aug-07,40-X,RH-2,16-Feb-07,-122.475558,37.743958,1233,,Resident,-1,BP Approved/Issued/Re-Instated,9,10,0,,,,,,,,12500,2347,004G,,,RH-2,40-X,7,"Jeffer, Mangels, Butler & Marmaro",David Cincotta,415-398-8080,David Cincotta 415-398-8080,"San Francisco, CA 94111","Two Embarcadero Center, 5th Floor"
2349036,2322 21st Av,Outer Sunset,BP APPROVED,7-Dec-10,2,,"VERTICAL AND HORIZONTAL ADDITION, CONVERT 2 STORY SINGLE FAMILY DWELLING INTO 4 STORY, 2 UNITS. GROU",Residential Zoning Districts,RH-2,452,0,,,,,,,,200806033455,,3-Jun-08,40-X,RH-2,3-Jun-08,-122.477759,37.744283,1236,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,,3000,2349,36,,,RH-2,40-X,4,,,,,,
2374019,3534 Taraval St,Outer Sunset,BP APPROVED,26-Feb-09,3,3 new condo construction,VERTIACL & HORIZONTAL ADDITION TO EXISTING BUILDING. CONVERT EXISTING RETAIL TO 3 FAMILY DWELLING. R,Neighborhood Commercial Zoning Districts,NC-1,111,0,,,,,0,,2008.0336,200712120290,,12-Dec-07,40-X,NC-1,12-Dec-07,-122.503969,37.741935,1241,,Resident,-1,BP Approved/Issued/Re-Instated,9,3,-1200,,,,,-1200,,,2500,2374,19,,,NC-1,40-X,4,Herzig & Berlese,Margaret Berlese,415 861 8800,Margaret Berlese 415 861 8800,"San Francisco, CA 94102","414 Gough St, Suite 5"
2394046,2115 Taraval St,Outer Sunset,BP APPROVED,15-Aug-11,2,"Existing 2,150 sqft, 22'-0"" two-unit residence with ground floor commercial. Proposed 5,000 sqft, 50'-0"" two-unit residence with office and commercial space.","TO ERECT 4 STORIES, 2 UNITS, MIXED USE BUILDING.",Neighborhood Commercial Zoning Districts,NC-2,435,2000,1000,,,,1000,,2008.0794,201007146550,17-Jun-09,14-Jul-10,50-X,NC-2,17-Jun-09,-122.488777,37.742335,1246,,Mixres,-1,BP Approved/Issued/Re-Instated,9,2,1000,,,1000,,0,,,2500,2394,46,,,NC-2,50-X,4,,Kevin Ma,415.279.1578,Kevin Ma 415.279.1578,"San Francisco, CA 94109",1359 Broadway
2620018,126 Museum Wy,Buena Vista,PL Filed,12-Sep-07,2,"The project would demolish an existing single-family dwelling (1,028 square feet) and construct a new two-unit dwelling with two off-street parking spaces.",,Residential Zoning Districts,RH-2,563,0,,,,,,,2007.1058,,12-Sep-07,,40-X,RH-2,12-Sep-07,-122.439794,37.764214,1258,,Resident,0,Planning Filed,2,1,0,,,,,,,,3145,2620,18,,,RH-2,40-X,8,,Michael Schulte,415.710.5805,Michael Schulte 415.710.5805,"San Francisco, CA 94110",6 Elsie Street
2625007A,70 Douglass St,Buena Vista,BP Filed,3-Mar-06,2,Renovation and rehabilitation of an existing residential building constructe c. 1900.,ERECT 4 STORIES OF 2 DWELLING  UNITS.,Residential Zoning Districts,RH-2,563,0,0,0,0,0,0,0,2006.0336,200509021966,3-Mar-06,2-Sep-05,40-X,RH-2,2-Sep-05,-122.439699,37.762618,1264,,Resident,-1,BP Filed,6,1,0,0,0,0,0,0,0,,3768,2625,007A,,,RH-2,40-X,8,Group 41 Incorporated,Joel M. Karr,415.572.5033,Joel M. Karr 415.572.5033,"San Francisco, CA 94103","785 Market Street, Suite 830"
